阶段,词项,总词频,文献频次
2011-2015,漏失,2413,1508
2011-2015,溶解,2398,1289
2011-2015,阻力,2371,1502
2011-2015,水泥,2357,822
2016-2020,储层,34676,10674
2016-2020,地层,28763,14969
2016-2020,孔隙,16225,4439
2016-2020,构造,14842,7325
2016-2020,裂缝,13695,3320
2016-2020,页岩,12481,3158
2016-2020,盆地,12119,5780
2016-2020,二氧化碳,11358,2823
2016-2020,渗透率,10459,4267
2016-2020,催化剂,9260,2774
2016-2020,样品,8000,3952
2016-2020,断层,7782,1971
2016-2020,地震,7740,3161
2016-2020,沉积,7048,3295
2016-2020,注入,7024,2755
2016-2020,水合物,6867,941
2016-2020,吸附,6489,2384
2016-2020,采收率,6320,3032
2016-2020,岩心,6247,3601
2016-2020,甲烷,6196,2198
2016-2020,浓度,6145,3426
2016-2020,孔隙度,5893,2590
2016-2020,颗粒,5844,2461
2016-2020,钻井,5637,2491
2016-2020,砂岩,5588,2187
2016-2020,水力压裂,5565,1822
2016-2020,区带,5562,2595
2016-2020,驱替,5458,2105
2016-2020,碳酸盐岩,5306,2272
2016-2020,效率,4912,3243
2016-2020,液相,4815,2500
2016-2020,热采,4735,2581
2016-2020,产品,4642,2740
2016-2020,模拟,4591,2972
2016-2020,勘探,4549,2787
2016-2020,化学,4351,3043
2016-2020,矿物,4350,2072
2016-2020,应力,4182,1562
2016-2020,砂体,4160,1682
2016-2020,收率,4141,2373
2016-2020,页岩气,4129,1379
2016-2020,组成,3979,2787
2016-2020,成藏,3965,1936
2016-2020,活性,3854,2437
2016-2020,密度,3745,2331
2016-2020,演化,3696,2350
2016-2020,河道,3568,1439
2016-2020,有机质,3511,1842
2016-2020,聚合物,3485,1234
2016-2020,黏度,3433,1608
2016-2020,生成,3396,2005
2016-2020,燃烧,3391,1220
2016-2020,转化,3335,2042
2016-2020,速度,3332,1506
2016-2020,稳定性,3307,2177
2016-2020,预测,3270,2045
2016-2020,埋深,3266,1967
2016-2020,水平,3251,1651
2016-2020,运移,3202,1674
2016-2020,三角洲,3185,1190
2016-2020,评价,3180,2069
2016-2020,油田,3136,1815
2016-2020,行为,3113,2174
2016-2020,热解,3074,1195
2016-2020,建立,3064,2687
2016-2020,催化,3047,1753
2016-2020,测井,3017,1755
2016-2020,稠油,2981,1455
2016-2020,表面活性剂,2981,842
2016-2020,富集,2977,1869
2016-2020,饱和度,2898,1401
2016-2020,致密,2841,1304
2016-2020,氧化,2819,1339
2016-2020,区块,2782,1650
2016-2020,黏土,2736,1363
2016-2020,设计,2629,1869
2016-2020,层段,2606,1231
2016-2020,沥青质,2566,600
2016-2020,层序,2550,1150
2016-2020,电子,2543,2077
2016-2020,频率,2478,1132
2016-2020,反应器,2458,1494
2016-2020,溶解,2441,1181
2016-2020,金属,2436,1376
2016-2020,凹陷,2406,1149
2016-2020,方程,2403,1495
2016-2020,反演,2403,982
2016-2020,储存,2399,1298
2016-2020,角度,2376,1344
2016-2020,多孔,2337,1410
2016-2020,微观,2327,1343
2016-2020,蒸汽,2322,731
2016-2020,流体,2318,1292
2016-2020,轻质,2316,1550
2016-2020,厚度,2289,1518
2016-2020,垂向,2278,1561
2016-2020,分子,2259,1487
2016-2020,网络,2223,1327
2016-2020,反应,2193,1434
2016-2020,扩散,2187,1070
2021-2025,地层,32030,18657
2021-2025,储层,25547,8624
2021-2025,二氧化碳,21988,4738
2021-2025,构造,17324,9253
2021-2025,孔隙,15640,4836
2021-2025,催化剂,14095,4320
2021-2025,水合物,13005,1707
2021-2025,裂缝,12604,3104
2021-2025,页岩,11065,2739
2021-2025,渗透率,10489,4282
2021-2025,吸附,9490,3668
2021-2025,甲烷,8972,2896
2021-2025,效率,8795,5882
2021-2025,样品,8139,3969
2021-2025,盆地,7963,3685
2021-2025,注入,7471,2904
2021-2025,采收率,7438,3513
2021-2025,浓度,7320,4151
2021-2025,稳定性,6991,4626
2021-2025,储存,6854,2997
2021-2025,颗粒,6730,2965
2021-2025,密度,6084,4132
2021-2025,热采,5979,3286
2021-2025,化学,5795,4043
2021-2025,岩心,5732,2994
2021-2025,模拟,5699,3805
2021-2025,活性,5634,3679
2021-2025,金属,5496,3143
2021-2025,水力压裂,5374,1715
2021-2025,催化,5324,2985
2021-2025,钻井,5324,1962
2021-2025,沉积,5150,2725
2021-2025,产品,5126,3164
2021-2025,转化,5104,3259
2021-2025,碳酸盐岩,4984,2212
2021-2025,孔隙度,4978,2490
2021-2025,地震,4948,1855
2021-2025,液相,4926,2691
2021-2025,应力,4848,1826
2021-2025,断层,4840,1219
2021-2025,行为,4635,3275
2021-2025,驱替,4592,1873
2021-2025,演化,4585,2951
2021-2025,收率,4541,2883
2021-2025,材料,4538,2957
2021-2025,矿物,4411,1979
2021-2025,区带,4402,2162
2021-2025,离子,4342,2403
2021-2025,氧化,4267,2127
2021-2025,燃烧,4258,1443
2021-2025,位点,4243,2706
2021-2025,网络,4192,2514
2021-2025,电子,4125,3001
2021-2025,生成,4115,2705
2021-2025,热解,4091,1510
2021-2025,砂岩,3998,1586
2021-2025,设计,3949,3149
2021-2025,组成,3928,2802
2021-2025,分子,3903,2504
2021-2025,聚合物,3874,1676
2021-2025,预测,3699,2085
2021-2025,富集,3665,2333
2021-2025,多孔,3521,2082
2021-2025,选择性,3496,2181
2021-2025,成本,3439,2580
2021-2025,复合材料,3370,1712
2021-2025,强度,3340,1911
2021-2025,表面活性剂,3212,965
2021-2025,去除,3210,1696
2021-2025,反应,3190,2220
2021-2025,轻质,3172,2100
2021-2025,扩散,3132,1621
2021-2025,饱和度,3128,1430
2021-2025,黏度,3124,1505
2021-2025,运移,3085,1750
2021-2025,生长,3028,1970
2021-2025,提高采收率,3000,1177
2021-2025,分离,2941,1618
2021-2025,埋深,2913,1913
2021-2025,勘探,2888,1969
2021-2025,降解,2862,1424
2021-2025,河道,2828,1422
2021-2025,传输,2807,1756
2021-2025,砂体,2804,1054
2021-2025,速度,2789,1415
2021-2025,有机质,2778,1465
2021-2025,优化,2771,1701
2021-2025,黏土,2763,1234
2021-2025,纳米颗粒,2708,1505
2021-2025,准确率,2677,1854
2021-2025,流体,2637,1522
2021-2025,泡沫,2576,536
2021-2025,阻力,2574,1784
2021-2025,评价,2560,1807
2021-2025,溶剂,2555,1243
2021-2025,建立,2540,2240
2021-2025,稠油,2538,1182
2021-2025,芳香族,2524,1339
2021-2025,角度,2415,1393
2021-2025,动力学,2388,1674
