阶段,主题编号,主题标签,主题强度,平均主题概率,关键词排名,关键词,词项概率
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,2,速度,0.020299
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,3,频率,0.018992
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,4,反演,0.010919
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,5,振幅,0.009989
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,6,噪声,0.008905
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,7,成像,0.008042
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,8,处理,0.007931
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,9,reflection,0.007441
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,10,signal,0.006399
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,11,埋深,0.006391
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,12,运移,0.006296
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,1,储层,0.036592
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,2,地震,0.016197
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,3,预测,0.012764
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,4,测井,0.011838
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,5,工艺,0.009237
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,6,地质,0.008003
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,7,分布,0.007706
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,8,解释,0.007277
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,9,评价,0.007233
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,10,modeling,0.006099
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,11,勘探,0.006047
2011-2015,T08,储层 / 地震 / 预测 / 测井,0.075828,0.081344,12,information,0.005642
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,1,盆地,0.026335
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,2,构造,0.022477
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,3,地层,0.019319
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,4,沉积,0.016583
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,5,断层,0.01354
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,6,储层,0.012537
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,7,岩石,0.009494
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,8,三角洲,0.008533
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,9,层序,0.008496
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,10,区带,0.008459
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,11,分布,0.008103
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,0.113352,0.11283,12,勘探,0.008079
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,1,岩石,0.033631
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,2,成藏,0.030055
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,3,储层,0.029368
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,4,地层,0.027979
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,5,断层,0.025729
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,6,运移,0.016873
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,7,盆地,0.015115
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,8,生成,0.014503
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,9,凹陷,0.010996
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,10,构造,0.010224
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,11,勘探,0.00975
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,0.059989,0.060753,12,烃源岩,0.008853
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,1,驱替,0.031006
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,2,注入,0.026385
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,3,储层,0.02522
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,4,页岩,0.023
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,5,采收率,0.022961
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,6,聚合物,0.019965
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,7,页岩气,0.017977
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,8,水力压裂,0.017814
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,9,渗透率,0.01364
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,10,油田,0.012465
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,11,黏度,0.012117
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,0.066957,0.069764,12,泡沫,0.011743
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,1,催化剂,0.020729
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,2,地层,0.016951
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,3,吸附,0.008426
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,4,活性,0.007221
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,5,二氧化碳,0.006376
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,6,浓度,0.006066
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,7,构造,0.0058
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,8,催化,0.0055
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,9,氧化,0.005467
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,10,prepared,0.005432
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,11,转化,0.005274
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,0.093993,12,产品,0.005272
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,1,储层,0.042819
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,2,裂缝,0.039188
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,3,渗透率,0.01863
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,4,应力,0.01223
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,5,水力压裂,0.011366
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,6,水平,0.006998
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,7,模拟,0.005471
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,8,分布,0.005469
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,9,特征,0.005327
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,10,建立,0.005226
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,11,评价,0.00512
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,0.120826,12,fractured,0.004778
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,1,盆地,0.02897
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,2,断层,0.026447
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,3,构造,0.022093
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,4,岩石,0.019997
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,5,储层,0.014974
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,6,成藏,0.010901
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,7,勘探,0.009692
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,8,区带,0.009243
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,9,运移,0.006189
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,10,分布,0.00617
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,11,凹陷,0.006109
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,0.105636,0.101554,12,生成,0.006002
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,1,孔隙,0.058355
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,2,页岩,0.046867
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,3,储层,0.028652
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,4,孔隙度,0.017502
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,5,样品,0.014209
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,6,岩石,0.012585
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,7,页岩气,0.009881
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,8,砂岩,0.009558
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,9,特征,0.008676
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,10,渗透率,0.008649
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,11,clay,0.00861
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,0.083215,12,分布,0.007908
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,1,钻井,0.02699
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,2,水力压裂,0.012315
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,3,凝胶,0.011847
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,4,储层,0.009456
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,5,井筒,0.009278
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,6,聚合物,0.009252
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,7,驱替,0.008663
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,8,油田,0.007822
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,9,注入,0.007586
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,10,封堵,0.007496
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,11,砂体,0.007492
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,0.063014,12,阻力,0.007014
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,1,颗粒,0.016624
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,2,燃烧,0.015947
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,3,灰分,0.008926
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,4,实验,0.007407
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,5,火焰,0.00731
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,6,液相,0.007116
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,7,烟炱,0.006884
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,8,比值,0.006762
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,9,柴油,0.006294
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,10,air,0.006201
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,11,gasification,0.005684
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,0.075714,12,bed,0.005681
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,1,催化剂,0.028322
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,2,催化,0.008064
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,3,构造,0.007645
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,4,活性,0.007175
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,5,金属,0.006898
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,6,吸附,0.006485
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,7,材料,0.005634
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,8,prepared,0.005572
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,9,selectivity,0.005086
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,10,复合材料,0.005033
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,11,membrane,0.005008
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,0.142847,0.127744,12,转化,0.004992
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,1,表面活性剂,0.026368
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,2,采收率,0.020458
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,3,吸附,0.015303
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,4,润湿性,0.014522
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,5,盐水,0.013451
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,6,驱替,0.013359
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,7,浓度,0.012426
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,8,盐度,0.012357
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,9,储层,0.011542
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,10,岩石,0.011374
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,11,实验,0.011252
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,0.043724,12,岩心,0.010194
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,1,水合物,0.047213
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,2,甲烷,0.026716
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,3,聚合物,0.012198
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,4,实验,0.009963
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,5,浓度,0.008284
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,6,分子,0.007596
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,7,diffusion,0.007261
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,8,行为,0.006736
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,9,transport,0.006517
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,10,构造,0.005515
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,11,黏度,0.005507
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,0.056678,12,吸附,0.005276
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,1,沉积,0.019366
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,2,储层,0.016771
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,3,碳酸盐岩,0.014281
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,4,三角洲,0.011252
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,5,盆地,0.010553
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,6,河道,0.009527
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,7,层序,0.009438
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,8,砂岩,0.008431
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,9,dolomite,0.006624
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,10,砂体,0.006316
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,11,stratigraphic,0.005759
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,0.072612,12,sea,0.005597
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,1,二氧化碳,0.049657
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,2,注入,0.015525
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,3,采收率,0.012949
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,4,稠油,0.010556
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,5,蒸汽,0.009741
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,6,沥青质,0.008985
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,7,储层,0.007828
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,8,黏度,0.007821
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,9,储存,0.007482
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,10,实验,0.007182
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,11,溶剂,0.006127
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,0.078536,12,效率,0.005579
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,1,产品,0.017633
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,2,热解,0.01318
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,3,收率,0.010736
2016-2020,T11,产品 / 热解 / 收率 / 化合物,0.082226,0.082992,4,化合物,0.009245
