阶段,主题编号,主题标签,主题文献数,阶段文献总数,主题强度,平均主题概率,代表关键词
2016-2020,T10,二氧化碳 / 采收率 / 注入 / 驱替,2341,28835,0.081186,0.084367,二氧化碳 | 采收率 | 注入 | 驱替 | 储层 | 沥青质 | 稠油 | 实验 | 黏度 | 蒸汽 | 泡沫 | 效率
2016-2020,T11,产品 / 热解 / 收率 / 化合物,2916,28835,0.101127,0.099825,产品 | 热解 | 收率 | 化合物 | 转化 | 化学 | 生物质 | 反应 | 氧化 | degradation | aromatic | 浓度
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,2306,31167,0.073989,0.076658,构造 | 复合材料 | 材料 | 强度 | 聚合物 | 热采 | self | 阻力 | hydrogel | 稳定性 | 层系 | prepared
2021-2025,T02,产品 / 热解 / 收率 / 化学,3811,31167,0.122277,0.117224,产品 | 热解 | 收率 | 化学 | 生物质 | 化合物 | 转化 | 构造 | aromatic | 分子 | 机理 | 反应
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,1666,31167,0.053454,0.062335,页岩 | 孔隙 | 储层 | 岩石 | 样品 | 孔隙度 | 砂岩 | 碳酸盐岩 | clay | mineral | 矿物 | dissolution
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,2542,31167,0.081561,0.078949,水合物 | 二氧化碳 | 甲烷 | 颗粒 | 液相 | 实验 | 浓度 | 砂体 | 储存 | 沥青质 | growth | 注入
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,2305,31167,0.073956,0.072892,燃烧 | 采收率 | 注入 | 表面活性剂 | 驱替 | 浓度 | 泡沫 | 实验 | 火焰 | 润湿性 | 储层 | eor
2021-2025,T06,储层 / 钻井 / 预测 / 地震,5084,31167,0.163121,0.158204,储层 | 钻井 | 预测 | 地震 | 裂缝 | accuracy | 网络 | 岩石 | 优化 | 模拟 | 地质 | 井筒
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,2989,31167,0.095903,0.096789,裂缝 | 孔隙 | 渗透率 | 二氧化碳 | 储层 | 吸附 | 水力压裂 | 应力 | 甲烷 | 页岩 | 实验 | 注入
2021-2025,T08,盆地 / 断层 / 构造 / 储层,2688,31167,0.086245,0.085131,盆地 | 断层 | 构造 | 储层 | 沉积 | 区带 | 岩石 | 地震 | 勘探 | 成藏 | 分布 | 上部
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,3253,31167,0.104373,0.102097,催化剂 | 催化 | 活性 | 位点 | 金属 | selectivity | cu | 转化 | 构造 | 吸附 | 二氧化碳 | pt
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,2540,31167,0.081496,0.084836,二氧化碳 | 储存 | 密度 | 构造 | 稳定性 | ion | li | 分离 | electrolyte | 效率 | electrochemical | 材料
2021-2025,T11,效率 / 电子 / 机理,1983,31167,0.063625,0.064885,dot | degradation | removal | center | treatment | ph | 效率 | mg | oh | 电子 | wastewater | 机理
